School Name,School Code,Link (Excel),Direct URL
P0285 ST. THERESIA GIRLS' CENTRE,results\p0285,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0285.htm
P0301 AIRWING J.W.T.Z. CENTRE,results\p0301,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0301.htm
P0302 ARUSHA  CENTRE,results\p0302,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0302.htm
P0304 BUKOBA  CENTRE,results\p0304,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0304.htm
P0305 BULUBA  CENTRE,results\p0305,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0305.htm
P0306 DODOMA  CENTRE,results\p0306,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0306.htm
P0307 DODOMA CENTRAL  CENTRE,results\p0307,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0307.htm
P0309 FIDEL CASTRO  CENTRE,results\p0309,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0309.htm
P0313 IKIZU  CENTRE,results\p0313,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0313.htm
P0314 KAZIMA  CENTRE,results\p0314,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0314.htm
P0316 KIBASILA  CENTRE,results\p0316,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0316.htm
P0321 KINONDONI  CENTRE,results\p0321,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0321.htm
P0324 LINDI  CENTRE,results\p0324,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0324.htm
P0325 LUGALO  CENTRE,results\p0325,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0325.htm
P0326 LUMUMBA  CENTRE,results\p0326,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0326.htm
P0328 MAWENZI  CENTRE,results\p0328,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0328.htm
P0329 MAKUMIRA  CENTRE,results\p0329,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0329.htm
P0330 MBEYA  CENTRE,results\p0330,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0330.htm
P0331 MKONGE  CENTRE,results\p0331,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0331.htm
P0332 MOROGORO  CENTRE,results\p0332,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0332.htm
P0333 MWANZA  CENTRE,results\p0333,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0333.htm
P0334 MWENGE  CENTRE,results\p0334,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0334.htm
P0341 SANGU  CENTRE,results\p0341,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0341.htm
P0345 USAGARA  CENTRE,results\p0345,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0345.htm
P0346 UYUI  CENTRE,results\p0346,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0346.htm
P0347 TAMBAZA  CENTRE,results\p0347,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0347.htm
P0353 PARANE  CENTRE,results\p0353,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0353.htm
P0355 LOMWE  CENTRE,results\p0355,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0355.htm
P0359 KIGURUNYEMBE  CENTRE,results\p0359,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0359.htm
P0360 KISHOJU  CENTRE,results\p0360,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0360.htm
P0361 SINGE  CENTRE,results\p0361,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0361.htm
P0363 MWADUI  CENTRE,results\p0363,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0363.htm
P0364 KARATU  CENTRE,results\p0364,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0364.htm
P0368 IMBORU  CENTRE,results\p0368,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0368.htm
P0375 JUMUIYA  CENTRE,results\p0375,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0375.htm
P0378 HEGONGO  CENTRE,results\p0378,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0378.htm
P0380 UCHAMA  CENTRE,results\p0380,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0380.htm
P0381 UTAANI  CENTRE,results\p0381,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0381.htm
P0382 TUMEKUJA  CENTRE,results\p0382,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0382.htm
P0383 BEN BELLA  CENTRE,results\p0383,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0383.htm
P0384 MIKUNGUNI  CENTRE,results\p0384,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0384.htm
P0385 UJIJI  CENTRE,results\p0385,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0385.htm
P0386 GEITA  CENTRE,results\p0386,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0386.htm
P0387 KARAGWE  CENTRE,results\p0387,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0387.htm
P0389 SHAURITANGA  CENTRE,results\p0389,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0389.htm
P0391 HAILE SELASSIE  CENTRE,results\p0391,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0391.htm
P0397 RULENGE  CENTRE,results\p0397,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0397.htm
P0399 MIRAMBO J.W.T.Z. CENTRE,results\p0399,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0399.htm
P0400 SHAMIANI  CENTRE,results\p0400,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0400.htm
P0402 MKWAJUNI  CENTRE,results\p0402,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0402.htm
P0407 MUGEZA  CENTRE,results\p0407,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0407.htm
P0409 MORINGE SOKOINE  CENTRE,results\p0409,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0409.htm
P0411 KONDE  CENTRE,results\p0411,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0411.htm
P0412 KANGANI  CENTRE,results\p0412,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0412.htm
P0418 LUTENGANO  CENTRE,results\p0418,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0418.htm
P0419 CHOME  CENTRE,results\p0419,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0419.htm
P0426 WANGING'OMBE  CENTRE,results\p0426,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0426.htm
P0427 MAKAMBAKO  CENTRE,results\p0427,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0427.htm
P0428 MPECHI  CENTRE,results\p0428,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0428.htm
P0431 MTWANGO  CENTRE,results\p0431,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0431.htm
P0432 JABAL-HIRA  CENTRE,results\p0432,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0432.htm
P0435 BISHOP MOSHI  CENTRE,results\p0435,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0435.htm
P0439 BUPANDAGILA ADVENTIST  CENTRE,results\p0439,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0439.htm
P0441 KILWA  CENTRE,results\p0441,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0441.htm
P0443 META  CENTRE,results\p0443,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0443.htm
P0444 ITAMBA  CENTRE,results\p0444,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0444.htm
P0445 MWEMBETOGWA  CENTRE,results\p0445,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0445.htm
P0446 MGOLOLO  CENTRE,results\p0446,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0446.htm
P0449 J.J. MUNGAI  CENTRE,results\p0449,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0449.htm
P0451 ENDAROFTA  CENTRE,results\p0451,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0451.htm
P0453 DONGOBESH  CENTRE,results\p0453,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0453.htm
P0457 IGAWILO  CENTRE,results\p0457,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0457.htm
P0461 JOHN PAUL II KAHAMA  CENTRE,results\p0461,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0461.htm
P0463 NGOREME  CENTRE,results\p0463,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0463.htm
P0464 KILOMBERO  CENTRE,results\p0464,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0464.htm
P0465 JAMHURI  CENTRE,results\p0465,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0465.htm
P0467 NYUKI J.W.T.Z. CENTRE,results\p0467,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0467.htm
P0468 KIRIKI  CENTRE,results\p0468,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0468.htm
P0471 MBOZI  CENTRE,results\p0471,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0471.htm
P0474 KISOMACHI  CENTRE,results\p0474,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0474.htm
P0476 MWANGAZA  CENTRE,results\p0476,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0476.htm
P0477 CHIMALA  CENTRE,results\p0477,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0477.htm
P0478 KIPOKE  CENTRE,results\p0478,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0478.htm
P0484 MKINGA  CENTRE,results\p0484,View Results,https://matokeo.necta.go.tz/results/2024/csee/CSEE2024/CSEE2024/results\p0484.htm
